,B,Pf,Pch,K,^Ksh,rrh,t,ts,k,BB
Average Energy,9.239535244225742e-06,8.170512099824647e-07,1.0470021001565324e-05,-1.119051796223013e-05,1.1672685435588672e-05,3.872594801290226e-05,-1.200789930421548e-06,-9.283982481932085e-07,-3.475298113207254e-05,-5.833966925569693e-05
Freq of Max Energy,11.0,19.25,11.25,5.5,45.0,226.5,667.25,487.25,48.5,7.0
Time of Max Energy,0.75,3.25,1.0,2.25,0.25,2.0,0.5,1.25,3.5,3.25
Max Energy Value,57.14915657043457,43.763373374938965,30.81183099746704,8.85008192062378,6.919661521911621,7.412143230438232,6.100473046302795,8.43113797903061,16.69288659095764,15.700417280197144
Attack,0.015374149659863945,0.06486394557823129,0.013696145124716553,0.024387755102040817,0.013174603174603176,0.06190476190476191,0.01284580498866213,0.02351473922902494,0.060770975056689346,0.01227891156462585
Decay,0.04828798185941044,0.024931972789115648,0.11175736961451248,0.07837868480725624,0.011394557823129252,0.011156462585034013,0.021235827664399094,0.015396825396825397,0.012630385487528343,0.00753968253968254
Sustain,0.0017006802721088435,0.001326530612244898,4.5351473922902495e-05,0.00014739229024943312,0.0001927437641723356,0.0009297052154195011,1.1337868480725624e-05,4.5351473922902495e-05,0.0012811791383219955,0.0010204081632653062
Release,0.04496598639455782,0.14704081632653063,0.04790249433106576,0.06241496598639455,0.18227891156462586,0.12162131519274377,0.06659863945578232,0.11363945578231294,0.08821995464852608,0.217312925170068
