,B,Pf,Pch,K,^Ksh,rrh,t,ts,k,BB
Average Energy,-0.0005602373159453849,8.508341727613298e-05,0.00022329830322938968,0.0003983112178129197,3.084706224613811e-05,-4.854107048675131e-06,-1.874467468968155e-05,1.6491938392977762e-05,-8.275216791295411e-05,-4.1762281701450745e-05
Freq of Max Energy,13.25,18.958333333333332,52.875,127.95833333333333,148.125,124.29166666666667,537.9583333333334,585.8333333333334,282.0833333333333,34.458333333333336
Time of Max Energy,1.4583333333333333,2.3333333333333335,1.875,1.7083333333333333,1.5416666666666667,3.0833333333333335,2.375,2.6666666666666665,2.7083333333333335,3.9583333333333335
Max Energy Value,51.42643563449383,68.50425819555919,64.4328561971585,29.15063729385535,17.44942609469096,17.12080184618632,12.709480871756872,14.71686547001203,20.36561240752538,33.75717683633169
Attack,0.02499244142101285,0.03989606953892668,0.02752078609221466,0.02524754346182918,0.03133408919123205,0.060032123960695384,0.044710884353741494,0.059599395313681046,0.053291761148904014,0.07181405895691612
Decay,0.061441798941798936,0.10297241118669691,0.10565003779289496,0.08677059712773998,0.08115268329554044,0.04348828420256992,0.04050075585789872,0.05040627362055933,0.040485638699924414,0.024002267573696143
Sustain,0.0030801209372637948,0.0014115646258503398,0.0012150415721844294,0.0032161753590325016,0.002001133786848073,0.0018046107331821616,0.007819349962207104,0.0006424792139077852,0.0012509448223733935,0.0009183673469387756
Release,0.0812509448223734,0.07910619803476948,0.07187452758881331,0.07357520786092214,0.10308390022675738,0.10828609221466366,0.07665910808767952,0.08410241874527591,0.09151927437641726,0.12727891156462587
