,Freq. of Max,Time of Max,Max Energy,Attack,Release,Sound SBN
0,20.0,0.0,29.024721145629883,0.007074829931972789,0.07650793650793651,B
1,813.0,0.0,16.551603317260742,0.022811791383219954,0.04970521541950113,B
2,160.0,2.0,10.231633186340332,0.02489795918367347,0.13233560090702948,B
3,757.0,0.0,8.737263679504395,0.029024943310657598,0.0527891156462585,B
4,715.0,2.0,11.908061027526855,0.0346031746031746,0.05918367346938776,Pf
5,32.0,0.0,14.089835166931152,0.00399092970521542,0.07424036281179139,Pf
6,36.0,2.0,49.467620849609375,0.019229024943310656,0.14099773242630387,Pf
7,851.0,2.0,9.27883529663086,0.05401360544217687,0.052244897959183675,Pf
8,918.0,0.0,12.261065483093262,0.03151927437641723,0.04698412698412698,Pch
9,18.0,1.0,27.144987106323242,0.009931972789115647,0.08226757369614512,Pch
10,35.0,2.0,30.05925178527832,0.006258503401360544,0.15034013605442176,Pch
11,815.0,2.0,4.2644219398498535,0.0490249433106576,0.04013605442176871,Pch
12,756.0,2.0,9.579585075378418,0.03569160997732426,0.05133786848072562,K
13,18.0,1.0,22.04646873474121,0.006893424036281179,0.09396825396825396,K
14,126.0,2.0,8.18609619140625,0.025306122448979593,0.14326530612244898,K
15,817.0,0.0,19.610172271728516,0.024625850340136056,0.0545578231292517,K
16,27.0,2.0,28.008092880249023,0.005396825396825397,0.10993197278911565,^Ksh
17,802.0,1.0,10.96104907989502,0.03074829931972789,0.05292517006802721,^Ksh
18,51.0,2.0,12.64528751373291,0.03301587301587302,0.12145124716553288,^Ksh
19,779.0,0.0,8.315300941467285,0.02671201814058957,0.0418140589569161,^Ksh
20,921.0,0.0,13.700692176818848,0.02761904761904762,0.05160997732426304,rrh
21,34.0,0.0,33.694034576416016,0.007392290249433106,0.10666666666666667,rrh
22,13.0,2.0,34.493438720703125,0.01909297052154195,0.15292517006802722,rrh
23,882.0,2.0,15.356901168823242,0.030612244897959183,0.06852607709750567,rrh
24,609.0,2.0,8.677123069763184,0.042585034013605444,0.06507936507936508,t
25,32.0,2.0,14.340027809143066,0.0032653061224489797,0.060816326530612246,t
26,36.0,2.0,24.346662521362305,0.0069387755102040816,0.1492063492063492,t
27,777.0,2.0,9.11235237121582,0.043038548752834464,0.049977324263038546,t
28,936.0,0.0,13.48937702178955,0.022993197278911564,0.05292517006802721,ts
29,18.0,2.0,34.23175811767578,0.008888888888888889,0.09891156462585034,ts
30,111.0,0.0,9.333185195922852,0.012789115646258504,0.1578684807256236,ts
31,907.0,1.0,11.024185180664062,0.023582766439909298,0.04984126984126984,ts
32,19.0,1.0,39.74945831298828,0.008843537414965987,0.09709750566893424,B
33,808.0,0.0,14.319690704345703,0.017324263038548754,0.05904761904761905,B
34,128.0,1.0,14.700703620910645,0.004126984126984127,0.14607709750566894,B
35,890.0,0.0,11.274328231811523,0.017687074829931974,0.049977324263038546,B
36,21.0,13.0,52.74383544921875,0.29573696145124717,0.007210884353741497,Pf
37,22.0,2.0,31.118764877319336,0.009841269841269842,0.11147392290249433,Pf
38,38.0,2.0,25.070209503173828,0.02507936507936508,0.201859410430839,Pf
39,793.0,2.0,11.455535888671875,0.038231292517006805,0.05328798185941043,Pf
40,738.0,1.0,9.512740135192871,0.032063492063492065,0.05324263038548753,Pch
41,34.0,1.0,27.493064880371094,0.008662131519274377,0.10630385487528345,Pch
42,35.0,1.0,15.022439002990723,0.011609977324263039,0.18848072562358276,Pch
43,808.0,0.0,6.098154544830322,0.024988662131519273,0.04163265306122449,Pch
44,802.0,0.0,13.313091278076172,0.018956916099773242,0.05551020408163265,K
45,16.0,0.0,18.042898178100586,0.009478458049886621,0.07804988662131519,K
46,134.0,2.0,8.788331985473633,0.043718820861678005,0.19024943310657597,K
47,750.0,0.0,36.72235870361328,0.0145578231292517,0.05514739229024943,K
48,17.0,1.0,34.59382629394531,0.028072562358276643,0.09673469387755101,^Ksh
49,184.0,13.0,8.096673011779785,0.0254875283446712,0.047165532879818596,^Ksh
50,175.0,2.0,18.87766456604004,0.03328798185941043,0.08090702947845806,^Ksh
51,892.0,1.0,7.838864803314209,0.023628117913832198,0.05015873015873016,^Ksh
52,21.0,13.0,45.16728591918945,0.28598639455782315,0.006802721088435374,rrh
53,18.0,0.0,33.214385986328125,0.0066213151927437645,0.09795918367346938,rrh
54,56.0,1.0,19.115320205688477,0.009387755102040816,0.21755102040816326,rrh
55,728.0,1.0,12.539440155029297,0.01782312925170068,0.06072562358276644,rrh
56,19.0,13.0,39.95185470581055,0.2911111111111111,0.0025850340136054422,t
57,19.0,0.0,29.26089096069336,0.009977324263038548,0.13578231292517007,t
58,41.0,1.0,17.39743423461914,0.007346938775510204,0.22861678004535146,t
59,790.0,1.0,5.010824680328369,0.034104308390022674,0.03777777777777778,t
60,17.0,13.0,43.16899108886719,0.29002267573696144,0.006666666666666667,ts
61,18.0,2.0,24.347803115844727,0.009070294784580499,0.07551020408163266,ts
62,53.0,1.0,12.395315170288086,0.011519274376417234,0.2613151927437642,ts
63,924.0,0.0,44.03662872314453,0.014104308390022675,0.05365079365079365,ts
64,810.0,0.0,8.222567558288574,0.018367346938775512,0.05147392290249433,B
65,175.0,2.0,13.645807266235352,0.024625850340136056,0.141859410430839,B
66,758.0,9.0,21.356138229370117,0.206984126984127,0.013514739229024943,B
67,759.0,0.0,19.64690589904785,0.02122448979591837,0.050793650793650794,B
68,18.0,1.0,14.636967658996582,0.009478458049886621,0.047573696145124716,Pf
69,34.0,2.0,42.5066032409668,0.021768707482993196,0.16117913832199546,Pf
70,751.0,0.0,14.344461441040039,0.008526077097505668,0.04040816326530612,Pf
71,798.0,0.0,16.516036987304688,0.017596371882086168,0.060136054421768705,Pf
72,26.0,1.0,11.699353218078613,0.007482993197278911,0.07922902494331066,Pch
73,47.0,2.0,16.852771759033203,0.0029478458049886623,0.16526077097505668,Pch
74,797.0,0.0,10.440471649169922,0.007936507936507936,0.04281179138321996,Pch
75,831.0,1.0,13.925649642944336,0.03310657596371882,0.05909297052154195,Pch
76,33.0,0.0,12.17640209197998,0.008390022675736962,0.063718820861678,K
77,50.0,2.0,9.414947509765625,0.01147392290249433,0.18340136054421768,K
78,19.0,9.0,38.16206359863281,0.21732426303854877,0.0031746031746031746,K
79,21.0,2.0,39.15945053100586,0.006167800453514739,0.09972789115646259,K
80,775.0,1.0,10.940583229064941,0.031337868480725624,0.05877551020408163,^Ksh
81,147.0,0.0,17.234241485595703,0.016462585034013606,0.1364625850340136,^Ksh
82,809.0,0.0,9.446292877197266,0.0163265306122449,0.04158730158730159,^Ksh
83,768.0,1.0,21.493953704833984,0.035147392290249435,0.049886621315192746,^Ksh
84,19.0,1.0,39.85239028930664,0.007074829931972789,0.11260770975056689,rrh
85,35.0,2.0,33.70225143432617,0.05197278911564626,0.13374149659863946,rrh
86,901.0,9.0,11.652670860290527,0.21972789115646257,0.0007709750566893424,rrh
87,847.0,2.0,11.222707748413086,0.029931972789115645,0.05433106575963719,rrh
88,26.0,1.0,7.044508934020996,0.0031746031746031746,0.05165532879818594,t
