,Freq. of Max,Time of Max,Max Energy,Attack,Release,Sound SBN
0,2.0,4.0,61.32406997680664,0.03741496598639456,0.23034013605442177,B
1,3.0,10.0,8.902375221252441,0.20829931972789115,0.05945578231292517,B
2,15.0,9.0,41.836830139160156,0.21410430839002267,0.05365079365079365,B
3,27.0,9.0,122.39045715332031,0.22303854875283446,0.04272108843537415,B
4,27.0,2.0,122.39045715332031,0.062494331065759634,0.20526077097505668,Pf
5,4.0,9.0,10.739872932434082,0.1892063492063492,0.07854875283446712,Pf
6,26.0,9.0,97.43190002441406,0.20752834467120182,0.054285714285714284,Pf
7,26.0,2.0,97.43190002441406,0.03687074829931973,0.21682539682539684,Pf
8,27.0,9.0,44.4327392578125,0.21727891156462584,0.05047619047619047,Pch
9,27.0,2.0,44.4327392578125,0.05473922902494331,0.21301587301587302,Pch
10,17.0,8.0,63.207237243652344,0.18136054421768708,0.08639455782312926,Pch
11,24.0,10.0,122.1861572265625,0.23346938775510204,0.03428571428571429,Pch
12,24.0,2.0,122.85323333740234,0.04770975056689342,0.2200453514739229,K
13,3.0,9.0,11.080501556396484,0.1948299319727891,0.0729251700680272,K
14,17.0,8.0,42.380496978759766,0.1839909297052154,0.0837641723356009,K
15,14.0,10.0,60.281803131103516,0.21759637188208616,0.05015873015873016,K
16,14.0,2.0,60.52853775024414,0.029841269841269842,0.23591836734693877,^Ksh
17,43.0,11.0,20.62242317199707,0.20639455782312927,0.06136054421768707,^Ksh
18,17.0,9.0,61.839027404785156,0.20834467120181405,0.05941043083900227,^Ksh
19,23.0,10.0,81.15350341796875,0.2234467120181406,0.04430839002267574,^Ksh
20,23.0,2.0,80.97088623046875,0.03609977324263038,0.17569160997732428,rrh
21,16.0,8.0,18.56488800048828,0.19732426303854875,0.07043083900226757,rrh
22,24.0,10.0,82.98507690429688,0.2289342403628118,0.02639455782312925,rrh
23,24.0,2.0,83.33492279052734,0.05560090702947846,0.21215419501133786,rrh
24,26.0,8.0,48.871212005615234,0.17129251700680273,0.0964625850340136,t
25,26.0,2.0,48.871212005615234,0.03197278911564626,0.14208616780045352,t
26,3.0,8.0,26.421199798583984,0.17519274376417235,0.092562358276644,t
27,23.0,10.0,124.79840850830078,0.22312925170068026,0.04462585034013605,t
28,23.0,2.0,124.6792221069336,0.03736961451247166,0.18444444444444444,ts
29,948.0,2.0,11.534523963928223,0.049614512471655325,0.218140589569161,ts
30,15.0,2.0,84.18675231933594,0.03841269841269841,0.20789115646258505,ts
31,4.0,8.0,30.654531478881836,0.19696145124716552,0.0707936507936508,ts
32,24.0,9.0,91.63286590576172,0.21414965986394557,0.05360544217687075,k
33,24.0,1.0,92.31158447265625,0.02839002267573696,0.23936507936507936,k
34,21.0,9.0,84.45355224609375,0.1963265306122449,0.07142857142857142,k
35,21.0,2.0,84.45355224609375,0.02566893424036281,0.23396825396825396,k
36,659.0,2.0,12.188509941101074,0.05219954648526077,0.21555555555555556,BB
37,22.0,9.0,101.3277816772461,0.03605442176870748,0.23170068027210886,BB
38,22.0,1.0,102.2497787475586,0.03351473922902495,0.2342403628117914,BB
39,17.0,8.0,33.35694122314453,0.1728344671201814,0.08839002267573697,BB
40,6.0,3.0,168.38400268554688,0.05668934240362812,0.2557369614512472,B
41,8.0,13.0,117.98100280761719,0.31151927437641724,0.0006349206349206349,B
42,5.0,2.0,185.87539672851562,0.03333333333333333,0.27909297052154197,B
43,446.0,1.0,16.1088809967041,0.030249433106575963,0.28217687074829934,B
44,428.0,7.0,21.401107788085938,0.1582766439909297,0.15414965986394558,Pf
45,426.0,6.0,14.094042778015137,0.12394557823129251,0.18848072562358276,Pf
46,777.0,10.0,20.461292266845703,0.23736961451247165,0.07505668934240363,Pf
47,4.0,13.0,153.85841369628906,0.3022222222222222,0.01020408163265306,Pf
48,4.0,4.0,176.9077911376953,0.08240362811791384,0.18603174603174602,Pch
49,5.0,12.0,110.92877197265625,0.2491609977324263,0.06326530612244897,Pch
50,5.0,3.0,110.8967056274414,0.04018140589569161,0.27224489795918366,Pch
51,435.0,2.0,16.43260955810547,0.03623582766439909,0.2761904761904762,Pch
52,6.0,2.0,65.15612030029297,0.02802721088435374,0.2732426303854875,K
53,437.0,0.0,19.24472999572754,0.0035374149659863946,0.1308843537414966,K
54,429.0,12.0,11.987387657165527,0.2799546485260771,0.032471655328798185,K
55,227.0,1.0,23.656600952148438,0.03074829931972789,0.2816780045351474,K
56,4.0,8.0,133.1841278076172,0.17505668934240362,0.13560090702947847,^Ksh
57,4.0,2.0,120.5059585571289,0.03732426303854875,0.27510204081632655,^Ksh
58,247.0,2.0,10.953267097473145,0.03569160997732426,0.15941043083900228,^Ksh
59,4.0,12.0,130.98439025878906,0.27374149659863944,0.038684807256235826,^Ksh
60,5.0,2.0,155.70506286621094,0.05360544217687075,0.25882086167800455,rrh
61,417.0,0.0,18.377920150756836,0.009886621315192743,0.30253968253968255,rrh
62,17.0,5.0,65.98285675048828,0.11668934240362812,0.19573696145124717,rrh
63,17.0,8.0,75.2130126953125,0.18811791383219956,0.12430839002267574,rrh
64,18.0,0.0,98.28898620605469,0.025578231292517007,0.2868480725623583,t
65,247.0,0.0,20.8681640625,0.028616780045351474,0.15496598639455783,t
66,445.0,10.0,12.71515941619873,0.21868480725623582,0.09374149659863945,t
67,445.0,2.0,12.71515941619873,0.03292517006802721,0.16843537414965987,t
68,263.0,12.0,17.90747833251953,0.2523356009070295,0.060090702947845805,ts
69,176.0,0.0,20.471521377563477,0.020136054421768707,0.29229024943310655,ts
70,484.0,8.0,4.728116035461426,0.17396825396825397,0.13242630385487528,ts
71,3.0,13.0,110.37569427490234,0.2878004535147392,0.024625850340136056,ts
72,6.0,3.0,108.42222595214844,0.05560090702947846,0.25682539682539685,k
73,4.0,2.0,124.40886688232422,0.05614512471655329,0.13759637188208618,k
74,441.0,10.0,10.150718688964844,0.24430839002267574,0.06811791383219955,k
75,441.0,1.0,10.151567459106445,0.03501133786848073,0.11224489795918367,k
76,15.0,13.0,15.157142639160156,0.026848072562358275,0.285578231292517,BB
77,6.0,2.0,152.45382690429688,0.05360544217687075,0.09655328798185941,BB
78,231.0,1.0,20.23343849182129,0.02580498866213152,0.1674829931972789,BB
79,3.0,12.0,83.7071304321289,0.22975056689342405,0.08267573696145125,BB
80,13.0,0.0,1.2138185501098633,0.023401360544217688,0.013922902494331067,B
81,13.0,2.0,31.09148597717285,0.013378684807256236,0.2588662131519274,B
82,627.0,5.0,12.459197044372559,0.05582766439909297,0.2166439909297052,B
83,252.0,4.0,31.8030948638916,0.06022675736961451,0.17609977324263038,B
84,882.0,2.0,4.739071846008301,0.05868480725623583,0.08040816326530613,Pf
85,871.0,2.0,6.730679988861084,0.05487528344671202,0.2058049886621315,Pf
86,282.0,1.0,31.71989631652832,0.037596371882086164,0.15836734693877552,Pf
